t,j,Beef,Bottled Beer,Bread,"Buns, Cakes And Biscuits","Butter, Etc.",Cassava Dry/Flour,Cassava Fresh,Chicken,Citrus Fruits,Coconuts,Coffee & Cocoa,Cooking Oil,Dairy Products,Eggs,Fish (dried),Fish (fresh),Goat Meat,Groundnuts,"Honey, Syrups, etc.",Irish Potatoes,Leafy Greens,Local Brews,"Macaroni, Spaghetti",Maize (flour),Maize (grain),"Maize (green, cob)",Materials For Drinks,Milk (dry or canned),Milk (fresh),Millet & Sorghum (flour),Millet & Sorghum (grain),Nuts,Other Cereal Products,Other Cereals,Other Fruits,Other Meat,Other Spices,Other Starches,Plantains,Pork,"Prepared Tea, Coffee",Pulses,Rice (husked),Rice (paddy),Ripe Bananas,Salt,Seeds,Soft drinks,Sugar,Sugarcane,Sweet Potatoes,Sweets,Tea (dry),Vegetables (fresh),Vegetables (preserved),Wheat Flour,Wild Birds & Insects,Wine & Spirits,Yams/Cocoyams
2019-20,Dar Es Salaam,6000,4285.714286,2211.111111,2120,10000,1450,782.3426573,9000,1684.210526,1458.333333,20000,3600,2800,,6000,7000,7000,2600,2333.333333,1000,1250,500,2600,1200,1200,1428.571429,6142.857143,18750,2000,2400,,9000,1600,1850,2000,,3266.666667,,1333.333333,11500,,2400,1991.666667,,1937.5,1000,,1428.571429,2400,1000,883.9285714,6666.666667,10000,1633.823529,,1300,,6666.666667,1250
2019-20,Mainland Other Urban,6000,4000,2222.222222,2500,8250,1000,769.2307692,9000,1666.666667,1428.571429,,3500,1366.666667,8333.333333,5000,4000,7000,2153.846154,3416.666667,1000,1093.75,708.3333333,2944.444444,1200,1000,666.6666667,1383.928571,,1266.666667,1857.142857,,,2352.941176,,1333.333333,,3333.333333,,833.3333333,6666.666667,,2000,1800,,1333.333333,1000,1600,1428.571429,2500,585.7142857,790.625,6025.641026,11428.57143,1545.454545,1339.285714,1400,,14666.66667,828.5714286
2019-20,Mainland Rural,6000,4000,2000,2283.42246,6000,800,625,8000,1291.666667,1250,10047.61905,3500,1200,,5000,2857.142857,5000,2000,4180,1000,976.1904762,500,2900,1200,1300,946.4285714,5000,27500,1000,1500,,11000,1636.363636,512.8205128,1055.555556,3000,4000,2000,666.6666667,6000,,2000,1800,,1111.111111,1000,,1428.571429,2800,333.3333333,666.6666667,8333.333333,10000,1500,1000,1400,,,769.2307692
2019-20,Zanzibar,9000,,2000,2000,4000,1500,1000,7500,1500,1250,,3000,,,7000,3000,,,1750,1200,1400,,2400,1300,,,,11666.66667,2000,1500,,,3000,,1000,,7500,,2000,,,2400,1662.5,2000,2000,800,,1000,2000,,1000,15000,10000,1866.666667,,1400,,,1666.666667
2020-21,Dar Es Salaam,7166.666667,,2000,2500,,1000,869.5652174,8000,1388.888889,1250,39043.33333,4500,2000,5000,8333.333333,7000,9166.666667,3600,6740,1000,1166.666667,,2600,1100,1200,666.6666667,,33750,2000,4000,4200,40000,1176.470588,,1547.157623,,7272.727273,,1076.923077,6500,,2800,1521.969697,,1212.121212,1000,,1428.571429,2800,583.3333333,783.6576831,10000,16666.66667,1428.571429,,1300,,,1196.581197
2020-21,Mainland Other Urban,7000,,2333.722287,2174.940898,10000,500,839.9832003,7500,961.5384615,1666.666667,,5000,1200,3636.363636,5882.352941,5166.666667,8000,2857.142857,2500,1000,750,964.2857143,3333.333333,1000,1000,1250,,,1500,833.3333333,,26000,,,1428.571429,,1937.984496,,900,7000,,2000,1400,,699.3006993,1000,,1428.571429,2800,315.920398,666.6666667,5507.246377,12096.77419,1282.894737,,1400,,2000,984.6153846
2020-21,Mainland Rural,6000,3500,2500,2500,3428.571429,700,500,4333.333333,832.3389537,962.1072089,2000,5000,1000,5000,5777.777778,4166.666667,6000,2000,5600,1000,801.0680908,500,2600,1000,700,555.5555556,,16000,1000,1500,1000,892.8571429,,,806.4516129,,2531.64557,,553.5055351,5000,100,2000,1400,,1000,1000,,1428.571429,2800,410.5263158,473.6094498,10000,10000,1202.893891,1666.666667,1500,1000,,1025.641026
2020-21,Nan,7000,4285.714286,2311.111111,2000,10000,1000,800,12000,978.4735812,1400,51129.03226,4600,1500,6685.288641,6097.560976,7751.937984,8000,3050,2500,1000,889.6797153,500,3000,1000,1200,2095.238095,,30000,1200,2000,,,,,1166.666667,,4000,,833.3333333,6000,,2000,1500,,847.7011494,1000,,1428.571429,2800,444.4444444,800,10000,10000,1262.254902,,1400,,13333.33333,
2020-21,Zanzibar,10000,,2857.142857,2000,4000,,1500,7500,2000,1200,,4000,,,10000,4392.857143,,119047.619,,1000,1055.555556,,2500,1400,,,,30000,3000,1100,1600,,2600,,2000,,12500,,2000,,,2800,1680,,2000,1000,,2000,2000,4166.666667,1000,18888.88889,10000,1600,,1500,,,666.6666667
